Export MPAN / MSID,Import MPAN / MSID,Customer Name,Customer Site,Address Line 1,Address Line 2,Town/ City,County,Postcode,Country,Location (X-coordinate):_Eastings (where data is held),Location (y-coordinate):_Northings (where data is held),Grid Supply Point,Bulk Supply Point,Primary,Point of Connection (POC)_Voltage (kV),Licence Area,Energy Source 1,Energy Conversion Technology 1,CHP Cogeneration (Yes/No),Storage Capacity 1 (MWh),Storage Duration 1 (Hours),Energy Source & Energy Conversion Technology 1 - Registered Capacity (MW),Energy Source 2,Energy Conversion Technology 2,CHP Cogeneration 2 (Yes/No),Storage Capacity 2 (MWh),Storage Duration 2 (Hours),Energy Source & Energy Conversion Technology 2 - Registered Capacity (MW),Energy Source 3,Energy Conversion Technology 3,CHP Cogeneration 3 (Yes/No),Storage Capacity 3 (MWh),Storage Duration 3 (Hours),Energy Source & Energy Conversion Technology 3 - Registered Capacity (MW),Flexible Connection (Yes/No),Connection Status,Already connected Registered Capacity (MW),Already Connected - Maximum Export Capacity (MW),Already Connected - Maximum Export Capacity (MVA),Already Connected - Maximum Import Capacity (MW),Already Connected - Maximum Import Capacity (MVA),Date Connected,Accepted to Connect Registered Capacity (MW),Accepted to Connect - Change to Maximum Export Capacity (MW),Accepted to Connect - Change to Maximum Export Capacity (MVA),Accepted to Connect - Change to Maximum Import Capacity (MW),Accepted to Connect - Change to Maximum Import Capacity (MVA),Date Accepted,Target Energisation Date,Distribution Service Provider (Y/N),Transmission Service Provider (Y/N),Reference,In a Connection Queue (Y/N),Distribution Reinforcement Reference,Transmission Reinforcement Reference,Last Updated,Longitude,Latitude,SpatialCoordinates_Customer,SiteFunctionalLocation,Primary Resource Type_Group
Data not available,,Pathfinders Clean Energy,(ANM) Land to the North of Greys Lane,,,Ipswich,SUFFOLK,IP19 0RJ,England,636721,280897,Bramford,Halesworth Grid 33kV,,33.0,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,27.0,Stored Energy (all stored energy irrespective of the original energy source),Storage - Electrochemical  (Batteries),,,,27.0,,,,,,,Yes,Accepted to Connect,,,,,,,27.0,27.0,28.421,10.0,10.53,2021-04-30,2028-12-31,,,,,,,2022-12-14,1.47634308537548,52.3749277329819,"52.3749277329819, 1.47634308537548",EPN-S0000000D5053,Solar PV
Data not available,,Intelligent Alternatives Limited,(ANM) Land North of Bassmead Manor,Staploe,,St Neots,Cambs,PE19 5JB,England,515164,261631,Eaton Socon,-,,132.0,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,50.0,,,,,,,,,,,,,Yes,Accepted to Connect,,,,,,,50.0,50.0,52.632,0.2,0.211,2021-02-17,2028-10-31,,,,,,,2021-03-12,-0.314803444036668,52.2408300123431,"52.2408300123431, -0.314803444036668",,Solar PV
Data not available,,Infraland,(ANM) Land North East of Woodwalton,Raveley Road,,Huntingdon,Cambs,PE28 2QZ,England,521927,282869,Eaton Socon,Huntingdon Grid 33kV,,33.0,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,16.0,Stored Energy (all stored energy irrespective of the original energy source),Storage - Electrochemical  (Batteries),,,,,,,,,,,Yes,Accepted to Connect,,,,,,,16.0,16.0,16.842,2.2,2.316,2021-04-20,2032-10-31,,,,,,,2024-11-14,-0.208110312943263,52.4302155343445,"52.4302155343445, -0.208110312943263",EPN-S0000000D4068,Solar PV
Data not available,,Stark Energy,(ANM) Whirlbush Farm,Risborough Road,,Kingsey,Herts,HP17 8NE,England,476560,200670,Amersham,-,,132.0,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,36.0,,,,,,,,,,,,,Yes,Connected,36.0,36.0,37.895,0.0,0.0,2024-03-22,,,,,,,,,,,,,,2024-10-14,-0.893603448528491,51.6995646092961,"51.6995646092961, -0.893603448528491",,Solar PV
Data not available,,Econergy Tech,(ANM) Leighton Road,Leighton Road,,Leighton Buzzard,BEDS,LU7 9PQ,England,495630,225208,Sundon,Sundon 33kV,,33.0,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,20.0,,,,,,,,,,,,,Yes,Accepted to Connect,,,,,,,20.0,20.0,21.053,,,2021-07-01,2031-10-31,,,,,,,2023-01-16,-0.610982785251247,51.9171996245046,"51.9171996245046, -0.610982785251247",EPN-S0000000D8086,Solar PV
Data not available,,Low Carbon,(ANM) Poppy Solar Farm,Gt Bromley Road,,Ardleigh,Essex,CO7 7SN,England,605860,227181,Bramford,-,,132.0,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,35.0,Stored Energy (all stored energy irrespective of the original energy source),Storage - Electrochemical  (Batteries),,,,35.0,,,,,,,Yes,Accepted to Connect,,,,,,,35.0,35.0,36.842,20.0,21.053,2021-06-07,2031-10-31,,,,,,,2022-12-14,0.991171511811026,51.9051191809671,"51.9051191809671, 0.991171511811026",,Solar PV
Data not available,,Stark Energy,(ANM) North West of Kimblewick Road,,,Kimblewick,Herts,HP17 8SX,England,473723,207969,Amersham,Ilmer Grid 33kV,,33.0,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,25.0,,,,,,,,,,,,,Yes,Accepted to Connect,,,,,,,25.0,25.0,26.316,0.0,0.0,2021-08-16,2024-12-31,,,,,,,2024-07-12,-0.933102470832482,51.7655585779615,"51.7655585779615, -0.933102470832482",EPN-S0000000D8077,Solar PV
Data not available,,Boom Power Limited,(ANM) Firsfield Farm aka Euston Estate,,,Theftford,Norfolk,IP24 2QP,England,592980,277120,Bramford,-,,132.0,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,46.99,,,,,,,,,,,,,Yes,Accepted to Connect,,,,,,,46.99,46.99,49.463,1.0,1.053,2021-09-03,2031-10-31,,,,,,,2022-12-14,0.832503622579833,52.3581584523652,"52.3581584523652, 0.832503622579833",,Solar PV
Data not available,,RNA-Energy Ltd,(ANM - N/A) Coles Green Farm,Chattisham Road,,washbrook,SUFFOLK,IP8 3HB,England,610520,242790,Bramford,-,,132.0,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,38.0,Stored Energy (all stored energy irrespective of the original energy source),Storage - Electrochemical  (Batteries),,,,38.0,,,,,,,Yes,Accepted to Connect,,,,,,,38.0,38.0,40.0,20.0,21.053,2021-06-30,2031-10-31,,,,,,,2022-12-14,1.06837594509697,52.0435149803037,"52.0435149803037, 1.06837594509697",,Solar PV
Data not available,,CX Group,(ANM - N/A) Cobholden Farm,Bushmead Road,,St Neots,Cambs,PE19 8JD,England,515957,259000,Eaton Socon,-,,132.0,Eastern Power Networks (EPN),Stored Energy (all stored energy irrespective of the original energy source),Storage - Electrochemical  (Batteries),,,,49.9,,,,,,,,,,,,,Yes,Accepted to Connect,,,,,,,49.9,49.9,52.526,49.9,52.526,2021-06-14,2032-10-31,,,,,,,2022-12-14,-0.304096405833935,52.2170204976356,"52.2170204976356, -0.304096405833935",,Storage
