site_id,weekday,events_count,total_hours,total_kwh
PATHFINDER_CLEAN_ENERGY_PACE_ANM_LAND_EAST_OF_DRAYTON_LANE_NORWICH_MAIN,2,7,0.3005555555555556,5044.583333333333
PATHFINDER_CLEAN_ENERGY_PACE_ANM_LAND_EAST_OF_DRAYTON_LANE_NORWICH_MAIN,3,2,0.4430555555555556,5247.677693922255
PATHFINDER_CLEAN_ENERGY_PACE_ANM_LAND_EAST_OF_DRAYTON_LANE_NORWICH_MAIN,4,13,3.033333333333333,22036.985313924153
PATHFINDER_CLEAN_ENERGY_PACE_ANM_LAND_EAST_OF_DRAYTON_LANE_NORWICH_MAIN,5,3,8.678888888888888,64951.15679592557
PATHFINDER_CLEAN_ENERGY_PACE_ANM_LAND_EAST_OF_DRAYTON_LANE_NORWICH_MAIN,6,2,20.561666666666667,237395.79764685736
PATHFINDER_CLEAN_ENERGY_PACE_LAND_WEST_OF_SPIXWORTH_ROAD_NORWICH_MAIN,0,5,5.245,29063.178888041177
PATHFINDER_CLEAN_ENERGY_PACE_LAND_WEST_OF_SPIXWORTH_ROAD_NORWICH_MAIN,1,21,24.679722222222225,222819.30770195855
PATHFINDER_CLEAN_ENERGY_PACE_LAND_WEST_OF_SPIXWORTH_ROAD_NORWICH_MAIN,2,7,7.243333333333334,90831.66650090535
PATHFINDER_CLEAN_ENERGY_PACE_LAND_WEST_OF_SPIXWORTH_ROAD_NORWICH_MAIN,3,16,12.606666666666667,76774.35327100966
PATHFINDER_CLEAN_ENERGY_PACE_LAND_WEST_OF_SPIXWORTH_ROAD_NORWICH_MAIN,4,11,15.325277777777778,87515.6566921997
PATHFINDER_CLEAN_ENERGY_PACE_LAND_WEST_OF_SPIXWORTH_ROAD_NORWICH_MAIN,5,4,75.45138888888889,1112952.4799104817
PATHFINDER_CLEAN_ENERGY_PACE_LAND_WEST_OF_SPIXWORTH_ROAD_NORWICH_MAIN,6,4,0.6719444444444445,4051.6243744574654
PETERS_ENERGY_STORAGE_FACILITY_ANM_WALNUT_ROAD_WALPOLE,0,11,13.13807,106965.6745719401
PETERS_ENERGY_STORAGE_FACILITY_ANM_WALNUT_ROAD_WALPOLE,1,10,6.82,45913.497246383035
PETERS_ENERGY_STORAGE_FACILITY_ANM_WALNUT_ROAD_WALPOLE,2,7,20.781111111111112,260362.13716362847
PETERS_ENERGY_STORAGE_FACILITY_ANM_WALNUT_ROAD_WALPOLE,3,16,28.69,310900.7793847317
PETERS_ENERGY_STORAGE_FACILITY_ANM_WALNUT_ROAD_WALPOLE,4,5,13.91,177087.75589423283
PETERS_ENERGY_STORAGE_FACILITY_ANM_WALNUT_ROAD_WALPOLE,5,11,122.17777777777778,815452.8977557246
PETERS_ENERGY_STORAGE_FACILITY_ANM_WALNUT_ROAD_WALPOLE,6,11,2882.565402222222,301334.82634670683
RENEWABLE_CONNECTIONS_DEVELOPMENTS_LTD_ANM_GREEN_END_BURWELL_MAIN_GRID_132KV,0,19,8.573055555555555,89190.5383533054
RENEWABLE_CONNECTIONS_DEVELOPMENTS_LTD_ANM_GREEN_END_BURWELL_MAIN_GRID_132KV,1,30,27.19388888888889,381015.52237764356
RENEWABLE_CONNECTIONS_DEVELOPMENTS_LTD_ANM_GREEN_END_BURWELL_MAIN_GRID_132KV,2,18,42.649343333333334,923469.2817277189
RENEWABLE_CONNECTIONS_DEVELOPMENTS_LTD_ANM_GREEN_END_BURWELL_MAIN_GRID_132KV,3,25,47.766688888888886,887464.2497511207
RENEWABLE_CONNECTIONS_DEVELOPMENTS_LTD_ANM_GREEN_END_BURWELL_MAIN_GRID_132KV,4,39,39.901666666666664,668066.1723135631
RENEWABLE_CONNECTIONS_DEVELOPMENTS_LTD_ANM_GREEN_END_BURWELL_MAIN_GRID_132KV,5,28,51.34861111111111,928298.5577291171
RENEWABLE_CONNECTIONS_DEVELOPMENTS_LTD_ANM_GREEN_END_BURWELL_MAIN_GRID_132KV,6,31,44.23423972222222,569304.0603089374
SAVILLS_SCOTTOW_ESTATE_SOLAR_FARM_NORWICH_MAIN,0,1,48.19555555555556,335044.4158035957
SAVILLS_SCOTTOW_ESTATE_SOLAR_FARM_NORWICH_MAIN,1,5,7.3997222222222225,45053.52113213433
SAVILLS_SCOTTOW_ESTATE_SOLAR_FARM_NORWICH_MAIN,2,2,3.482222222222222,10026.158067830402
SAVILLS_SCOTTOW_ESTATE_SOLAR_FARM_NORWICH_MAIN,3,2,10.88388888888889,70530.23949591743
SAVILLS_SCOTTOW_ESTATE_SOLAR_FARM_NORWICH_MAIN,4,3,9.81611111111111,49634.36016482883
SOLARCENTURY_HOLDINGS_LIMITED_FDG_B_12_LAND_NEAR_PERCH_LAKE_NORWICH_MAIN,0,35,479.07567805555556,2683199.2780403816
SOLARCENTURY_HOLDINGS_LIMITED_FDG_B_12_LAND_NEAR_PERCH_LAKE_NORWICH_MAIN,1,45,136.4525,559780.0342990451
SOLARCENTURY_HOLDINGS_LIMITED_FDG_B_12_LAND_NEAR_PERCH_LAKE_NORWICH_MAIN,2,38,209.19870277777778,962214.1459574847
SOLARCENTURY_HOLDINGS_LIMITED_FDG_B_12_LAND_NEAR_PERCH_LAKE_NORWICH_MAIN,3,53,122.46972222222223,485348.851482544
SOLARCENTURY_HOLDINGS_LIMITED_FDG_B_12_LAND_NEAR_PERCH_LAKE_NORWICH_MAIN,4,47,128.36416666666668,502448.6440259976
SOLARCENTURY_HOLDINGS_LIMITED_FDG_B_12_LAND_NEAR_PERCH_LAKE_NORWICH_MAIN,5,26,200.99596555555556,866303.2283244154
SOLARCENTURY_HOLDINGS_LIMITED_FDG_B_12_LAND_NEAR_PERCH_LAKE_NORWICH_MAIN,6,28,126.13694444444445,569904.6345442835
STARK_ENERGY_ANM_WHIRLBUSH_FARM_AMERSHAM,1,17,1.5248819444444446,47849.21370164659
STARK_ENERGY_ANM_WHIRLBUSH_FARM_AMERSHAM,2,1,0.6586111111111111,13409.048439398872
STARK_ENERGY_ANM_WHIRLBUSH_FARM_AMERSHAM,3,1,0.46767916666666665,16783.25
STARK_ENERGY_ANM_WHIRLBUSH_FARM_AMERSHAM,4,2,0.6152777777777778,13672.54607571072
THE_NATURAL_POWER_CONSULTANTS_LTD_TEMPORIS_WF_EYE_AIRFIELD_BRAMFORD,0,1,0.6263888888888889,4561.26818637424
THE_NATURAL_POWER_CONSULTANTS_LTD_TEMPORIS_WF_EYE_AIRFIELD_BRAMFORD,2,6,2.185995833333333,6800.416666666667
THE_NATURAL_POWER_CONSULTANTS_LTD_TEMPORIS_WF_EYE_AIRFIELD_BRAMFORD,5,2,1.1679050000000002,8873.0
THE_NATURAL_POWER_CONSULTANTS_LTD_TEMPORIS_WF_EYE_AIRFIELD_BRAMFORD,6,2,0.9677661111111111,7172.758879186047
TNEI_GROUP_ANM_BRACON_ASH_NORWICH_MAIN,0,8,20.073055555555555,168636.1095005968
TNEI_GROUP_ANM_BRACON_ASH_NORWICH_MAIN,1,7,19.830277777777777,456250.19889485673
TNEI_GROUP_ANM_BRACON_ASH_NORWICH_MAIN,2,5,9.752222222222223,208262.74852255505
TNEI_GROUP_ANM_BRACON_ASH_NORWICH_MAIN,3,18,14.529208055555557,309266.7530218845
TNEI_GROUP_ANM_BRACON_ASH_NORWICH_MAIN,4,10,35.761944444444445,821292.9338641526
TNEI_GROUP_ANM_BRACON_ASH_NORWICH_MAIN,5,3,19.615277777777777,474654.9492492676
TNEI_GROUP_ANM_BRACON_ASH_NORWICH_MAIN,6,3,4.910555555555556,81196.13804458619
TUPA_SOLAR_1_LIMITED_RICHBOROUGH_ENERGY_PARK_SELLINDGE_SGT2_3_RICHBOROUGH_SGT,0,6,3042.6711111111113,3434894.2718732366
TUPA_SOLAR_1_LIMITED_RICHBOROUGH_ENERGY_PARK_SELLINDGE_SGT2_3_RICHBOROUGH_SGT,1,6,839.3588888888889,3384474.9801799776
TUPA_SOLAR_1_LIMITED_RICHBOROUGH_ENERGY_PARK_SELLINDGE_SGT2_3_RICHBOROUGH_SGT,2,7,3383.55442,360222.37621914333
TUPA_SOLAR_1_LIMITED_RICHBOROUGH_ENERGY_PARK_SELLINDGE_SGT2_3_RICHBOROUGH_SGT,3,12,4871.598888888889,3603076.746060859
TUPA_SOLAR_1_LIMITED_RICHBOROUGH_ENERGY_PARK_SELLINDGE_SGT2_3_RICHBOROUGH_SGT,4,4,533.1544444444445,2015505.0445587838
TUPA_SOLAR_1_LIMITED_RICHBOROUGH_ENERGY_PARK_SELLINDGE_SGT2_3_RICHBOROUGH_SGT,5,5,108.05237,2188012.058355984
TUPA_SOLAR_1_LIMITED_RICHBOROUGH_ENERGY_PARK_SELLINDGE_SGT2_3_RICHBOROUGH_SGT,6,5,158.23473444444443,881663.8723614502
YORK_GREEN_RENEWABLES_LTD_GALLEY_HILL_FARM_EATON_SOCON,2,2,0.3330444444444444,232.36111111111114
