site_id,month,events_count,total_hours,total_kwh
SOLARCENTURY_HOLDINGS_LIMITED_FDG_B_12_LAND_NEAR_PERCH_LAKE_NORWICH_MAIN,5,29,21.27277777777778,45990.97065266927
SOLARCENTURY_HOLDINGS_LIMITED_FDG_B_12_LAND_NEAR_PERCH_LAKE_NORWICH_MAIN,6,33,41.78111111111111,132576.2225784895
SOLARCENTURY_HOLDINGS_LIMITED_FDG_B_12_LAND_NEAR_PERCH_LAKE_NORWICH_MAIN,7,32,58.12111111111111,210734.8910088094
SOLARCENTURY_HOLDINGS_LIMITED_FDG_B_12_LAND_NEAR_PERCH_LAKE_NORWICH_MAIN,8,44,103.07374333333334,373834.7220125156
SOLARCENTURY_HOLDINGS_LIMITED_FDG_B_12_LAND_NEAR_PERCH_LAKE_NORWICH_MAIN,9,28,81.32138888888889,295133.3713095432
SOLARCENTURY_HOLDINGS_LIMITED_FDG_B_12_LAND_NEAR_PERCH_LAKE_NORWICH_MAIN,10,22,85.25527777777778,314321.4113433838
SOLARCENTURY_HOLDINGS_LIMITED_FDG_B_12_LAND_NEAR_PERCH_LAKE_NORWICH_MAIN,11,5,65.04444444444444,247911.5128515625
SOLARCENTURY_HOLDINGS_LIMITED_FDG_B_12_LAND_NEAR_PERCH_LAKE_NORWICH_MAIN,12,4,33.769999999999996,127759.32107869466
TNEI_GROUP_ANM_BRACON_ASH_NORWICH_MAIN,1,3,4.9222222222222225,101040.2282447603
TNEI_GROUP_ANM_BRACON_ASH_NORWICH_MAIN,2,2,4.810277777777777,99960.82350463867
TNEI_GROUP_ANM_BRACON_ASH_NORWICH_MAIN,3,6,56.49,1056449.2602490913
TNEI_GROUP_ANM_BRACON_ASH_NORWICH_MAIN,4,1,4.985555555555556,121678.74929195827
TNEI_GROUP_ANM_BRACON_ASH_NORWICH_MAIN,6,12,7.624444444444444,125145.45424301148
TNEI_GROUP_ANM_BRACON_ASH_NORWICH_MAIN,7,16,17.47,395399.87082777236
TNEI_GROUP_ANM_BRACON_ASH_NORWICH_MAIN,8,4,1.1783333333333332,11286.070013461642
TNEI_GROUP_ANM_BRACON_ASH_NORWICH_MAIN,9,3,15.057500000000001,372111.1708729723
TNEI_GROUP_ANM_BRACON_ASH_NORWICH_MAIN,10,3,2.848055555555556,45741.579312201604
TNEI_GROUP_ANM_BRACON_ASH_NORWICH_MAIN,11,3,6.1092080555555555,140272.06288720024
TNEI_GROUP_ANM_BRACON_ASH_NORWICH_MAIN,12,1,2.9769444444444444,50474.561650831434
