constraint_description,constraint_type,main_location,secondary_location,matched_site,latitude,longitude,latitude_2,longitude_2,geolocation_source,geolocation_method,constraint_id
Clacton Grid 132/33kV GT2,transformer,CLACTON GRID GRID,,CLACTON GRID 132KV,51.8261259348637,1.17921285923585,,,grid_sites,substation_direct,0D3027_931-GT2_CONSTR-CCT
Clacton Grid 132/33kV Sum,aggregate,CLACTON GRID GRID,,CLACTON GRID 132KV,51.8261259348637,1.17921285923585,,,grid_sites,substation_direct,0D3027_SS_CONSTR-SUM
HISTON GRID 132/33kV - Landbeach SW/STN1,substation,HISTON GRID GRID,,WHISTON RD,51.535218783752,-0.0682578840091404,,,grid_sites,substation_direct,0D4009_H05-CCT_CONSTR-CCT
HISTON GRID 132/33kV - GT3,transformer,HISTON GRID GRID,,WHISTON RD,51.535218783752,-0.0682578840091404,,,grid_sites,substation_direct,0D4009_H13-GT3_CONSTR-CCT
HISTON GRID 132/33kV - Landbeach SW/STN2,substation,HISTON GRID GRID,,WHISTON RD,51.535218783752,-0.0682578840091404,,,grid_sites,substation_direct,0D4009_H18-CCT_CONSTR-CCT
HISTON GRID 132/33kV - Sum,aggregate,HISTON GRID GRID,,WHISTON RD,51.535218783752,-0.0682578840091404,,,grid_sites,substation_direct,0D4009_SS_CONSTR-SUM
BURWELL LOCAL GRID 132/33kV - GT1,transformer,BURWELL LOCAL GRID GRID,,BURWELL LOCAL GRID 132/33KV,52.2774898958568,0.317253092352746,,,grid_sites,substation_direct,0D4033_005-GT1_CONSTR-CCT
BURWELL LOCAL GRID 132/33kV - GT3,transformer,BURWELL LOCAL GRID GRID,,BURWELL LOCAL GRID 132/33KV,52.2774898958568,0.317253092352746,,,grid_sites,substation_direct,0D4033_014-GT3_CONSTR-CCT
LITTLE BARFORD 132/33kV - Sum,aggregate,LITTLE BARFORD,,LITTLE BARFORD 132KV,52.2073460897954,-0.272003403194028,,,grid_sites,substation_direct,0D4055_SS_CONSTR-SUM
HUNTINGDON GRID 132/33kV - Sum,aggregate,HUNTINGDON GRID GRID,,HUNTINGDON GRID 132KV,52.3411055103611,-0.183618102378877,,,grid_sites,substation_direct,0D4068_SS_CONSTR-SUM
Thorpe Grid 33kV - Stonehouse Solar Fm,solar_farm,THORPE GRID 33KV - STONEHOUSE SOLAR FM,,BELECTRIC SOLAR LTD STONEPITS SOLAR FARM,51.7476046962141,-0.935307114023684,,,ecr,solar_farm_direct,0D5014_912-CCT_CONSTR-CCT
Thorpe Grid 132/33kV - GT2B,transformer,THORPE GRID GRID,,THORPE GRID 132KV,52.6225373412088,1.32065922068105,,,grid_sites,substation_direct,0D5014_GT2B_CONSTR-CCT
Sall Grid – Sprowston Primary Sum Constraint,aggregate,SALL GRID,,SMALLFIELD GRID,51.1772206726174,-0.132275290346761,,,grid_sites,substation_direct,0D5023_911-CCT_CONSTR-SUM
Sall Grid 132/33kV - Oulton Airfield Solar Farm,solar_farm,SALL GRID 132/33KV - OULTON AIRFIELD SOLAR FARM,,PARK FARM DUNTON DUNTON SOLAR FARM,51.5897263334936,0.376441769040417,,,ecr,solar_farm_direct,0D5023_932-CCT_CONSTR-CCT
Halesworth Grid  132/33kV - GT2,transformer,HALESWORTH GRID GRID,,HALESWORTH GRID 132KV,52.3565761818556,1.51073016384416,,,grid_sites,substation_direct,0D5053_934-GT2_CONSTR-CCT
Halesworth Grid  132/33kV - SUM,aggregate,HALESWORTH GRID GRID,,HALESWORTH GRID 132KV,52.3565761818556,1.51073016384416,,,grid_sites,substation_direct,0D5053_SS_CONSTR-SUM
Wickham Market Grid  132/33kV - GT2,transformer,WICKHAM MARKET GRID GRID,,WICKHAM MARKET GRID 132/33KV,52.1874930946002,1.36753668530461,,,grid_sites,substation_direct,0D5073_931-GT2_CONSTR-CCT
Wickham Market Grid  132/33kV - SUM,aggregate,WICKHAM MARKET GRID GRID,,WICKHAM MARKET GRID 132/33KV,52.1874930946002,1.36753668530461,,,grid_sites,substation_direct,0D5073_SS_CONSTR-SUM
Trowse Grid 132kV - Alpington 1 Tee Crown Point,transmission_circuit,ALPINGTON 1,CROWN POINT,,52.079845921054655,0.612288137154546,52.6097363970183,1.34025541154419,grid_sites,transmission_midpoint,0D5084_916-CCT_CONSTR-CCT
Thowse Grid 132/33kV - GT5,substation,THOWSE GRID GRID,,TROWSE GRID 132KV,52.6077623298605,1.30807625655577,,,grid_sites,substation_direct,0D5084_GT5_CONSTR-CCT
Hempton Grid 132/33kV - Burnham Thorpe tee Hunstanton 2,transmission_circuit,BURNHAM THORPE,HUNSTANTON 2,,52.9409207056517,0.6294101114166235,52.936735389919,0.499007325405881,grid_sites,transmission_midpoint,0D6045_913-CCT_CONSTR-CCT
Hempton Grid 132/33kV - GT1,transformer,HEMPTON GRID GRID,,HEMPTON GRID 132KV,52.8291460633502,0.82576640727261,,,grid_sites,substation_direct,0D6045_914-GT1_CONSTR-CCT
King's Lynn Grid 132/33kV - Sum,aggregate,KING'S LYNN GRID GRID,,KINGS LYNN GRID 132/33KV,52.7576600302301,0.399591493869985,,,grid_sites,substation_direct,0D6046_SS_CONSTR-SUM
PETERBOROUGH CENTRAL 132/33kV - GT1B,transformer,PETERBOROUGH CENTRAL,,PETERBOROUGH CENTRAL 132KV,52.5673640902072,-0.242939394236269,,,grid_sites,substation_direct,0D6060_910-GT1B_CONSTR-CCT
British Sugar 33kV - Bury 1,substation,BRITISH SUGAR,,BRITISH SUGAR 33KV,52.2578039105025,0.731432103976518,,,grid_sites,substation_direct,0G1022_911-CCT_CONSTR-CCT
Scottoe Est Solar Farm - Wroxham Primary - Derived Measurement,solar_farm,SCOTTOE EST SOLAR FARM,,SAVILLS SCOTTOW ESTATE SOLAR FARM,52.7445504386641,1.37149084662075,,,ecr,solar_farm_direct,0G5025_902-CCT2_CONSTR-SUM
North Walsham - Scottow,substation,NORTH WALSHAM,,NORTH SHOREHAM 33KV,50.8396838818792,-0.283101798592647,,,grid_sites,substation_direct,0G5058_932-CCT_CONSTR-CCT
PETERBOROUGH CENTRAL 132/33kV - Farcet Primary to Bury Primary 33kV OHL,substation,PETERBOROUGH CENTRAL,,PETERBOROUGH CENTRAL 132KV,52.5673640902072,-0.242939394236269,,,grid_sites,substation_direct,0G6017_901-CCT2_CONSTR-CCT
DOCK RD PRIMARY 11kV - T2,transformer,DOCK RD PRIMARY,,DOCK RD PRIMARY 33/11KV,51.9538521006963,1.32655054208453,,,grid_sites,substation_direct,0H1060_T2_CONSTR-CCT
Eye Primary 33kV - Cotton  1,substation,EYE PRIMARY,,EYE PRIMARY 33KV,52.3210496999678,1.16064336173677,,,grid_sites,substation_direct,0H1069_910-T1_CONSTR-CCT
Norwich Main - Earlham 3,substation,NORWICH MAIN,,NORWICH MAIN 132KV,52.5740279616305,1.27181803305154,,,grid_sites,substation_direct,0Z5012_905-CCT_CONSTR-CCT
Norwich Main 132kV - SGT2,transformer,NORWICH MAIN,,NORWICH MAIN 132KV,52.5740279616305,1.27181803305154,,,grid_sites,substation_direct,0Z5012_SGT2_CONSTR-CCT
Norwich Main 132kV - SGT3,transformer,NORWICH MAIN,,NORWICH MAIN 132KV,52.5740279616305,1.27181803305154,,,grid_sites,substation_direct,0Z5012_SGT3_CONSTR-CCT
Norwich Main 132kV - SGT5,substation,NORWICH MAIN,,NORWICH MAIN 132KV,52.5740279616305,1.27181803305154,,,grid_sites,substation_direct,0Z5012_SGT5_CONSTR-CCT
Bramford 132kV - DISS GRID tee THETFORD GRID 4 (PI  No.4),transmission_circuit,DISS GRID,THETFORD GRID 4,,52.3797611750931,0.9212973684979532,52.3872190958013,0.736478402750066,grid_sites,transmission_midpoint,0C1068_937-CCT_CONSTR-CCT
Lawford 132kV -  CLACTON GRID 1 (PYA  No.1),substation,LAWFORD GRID,,LAWFORD GRID 132KV,51.9166973149882,1.0187895235319,,,grid_sites,substation_direct,0C3048_911-CCT_CONSTR-CCT
Lawford 132kV -  BRAMFORD GRID  tee CLIFF QUAY GRID 3 (PEC  No.3),transmission_circuit,BRAMFORD GRID,CLIFF QUAY GRID 3,,52.0522461393994,1.1130185675962552,52.0342568413421,1.16325674714046,grid_sites,transmission_midpoint,0C3048_932-CCT_CONSTR-CCT
ARBURY GRID 132/33kV - Little Barford tee HISTON GRID 1 (PT No1.),transmission_circuit,LITTLE BARFORD,HISTON GRID 1,,52.22673451895035,-0.084883392215162,52.2461229481053,0.102236618763704,grid_sites,transmission_midpoint,0C4001_901-CCT2_CONSTR-CCT
ARBURY GRID 132/33kV - Sum PT route,aggregate,ARBURY GRID GRID,,ARBURY GRID 132KV,52.2351409296593,0.130979173795973,,,grid_sites,substation_direct,0C4001_SS_CONSTR-SUM~PT
BURWELL MAIN GRID 132kV - Sum,aggregate,BURWELL MAIN GRID GRID,,BURWELL MAIN GRID 132KV,52.2806027360161,0.313046568036715,,,grid_sites,substation_direct,0C4026_SS_CONSTR-SUM
Norwich Main 132kV - Sum,aggregate,NORWICH MAIN,,NORWICH MAIN 132KV,52.5740279616305,1.27181803305154,,,grid_sites,substation_direct,0C5012_SS_CONSTR-SUM
Earlham - Norwich  Sum Constraint,aggregate,EARLHAM,,EARLHAM 132KV,52.6290809687739,1.22715148476072,,,grid_sites,substation_direct,0C5012_SS_CONSTR-SUM~PO
Sall Grid 132kV - Earlham Circuit 2 Sum Constraint,aggregate,SALL GRID GRID,,SMALLFIELD GRID,51.1772206726174,-0.132275290346761,,,grid_sites,substation_direct,0C5015_913-CCT_CONSTR-SUM
Sall Grid 132kV - Earlham Circuit 1 Sum Constraint,aggregate,SALL GRID GRID,,SMALLFIELD GRID,51.1772206726174,-0.132275290346761,,,grid_sites,substation_direct,0C5015_935-CCT_CONSTR-SUM
Trowse Grid 132kV - Gt Yarmouth - Trowse Sum Constraint,aggregate,TROWSE GRID GRID,,TROWSE GRID 132KV,52.6077623298605,1.30807625655577,,,grid_sites,substation_direct,0C5084_SS_CONSTR-SUM
Walpole 132kV - Kings Lynn Pwr Stn tee Kings Lynn Grid 1 (HB route no.1),transmission_circuit,KINGS LYNN PWR STN,KINGS LYNN GRID 1,,52.7576600302301,0.399591493869985,52.7576600302301,0.399591493869985,grid_sites,transmission_midpoint,0C6047_917-CCT_CONSTR-CCT
Walpole 132kV - Kings Lynn Pwr Stn tee Kings Lynn Grid 2 (HB route no.2),transmission_circuit,KINGS LYNN PWR STN,KINGS LYNN GRID 2,,52.7576600302301,0.399591493869985,52.7576600302301,0.399591493869985,grid_sites,transmission_midpoint,0C6047_933-CCT_CONSTR-CCT
WALPOLE GIS 132kV - PETERBOROUGH PWR STN tee PETERBOROUGH EAST GRID 2 (PCCB route),transmission_circuit,PETERBOROUGH PWR STN,PETERBOROUGH EAST GRID 2,,52.5814862617861,-0.2094758166478865,52.587102404767,-0.217291123167596,grid_sites,transmission_midpoint,0C6047_938-CCT_CONSTR-CCT
WALPOLE GIS 132kV - PCC route 132kV Sum,aggregate,WALPOLE GIS,,WALPOLE GIS 132KV,52.7270572195836,0.200532896725508,,,grid_sites,substation_direct,0C6047_938-CCT_CONSTR-SUM
